order_pay_date,pay_order_num,aim_order_num,pay_goods_num,demand_goods_num,peihuo_order_num,peihuo_duration,t0_peihuo_order_num,t0_peihuo_duration,t1_peihuo_order_num,t1_peihuo_duration,t2_peihuo_order_num,t2_peihuo_duration,t3_peihuo_order_num,t3_peihuo_duration,t4_peihuo_order_num,t4_peihuo_duration,t5_peihuo_order_num,t5_peihuo_duration,t6_peihuo_order_num,t6_peihuo_duration,t7_peihuo_order_num,t7_peihuo_duration,ship_order_num,ship_goods_num,aim_order_rate,demand_goods_rate,mean_peihuo_duration,peihuo_order_rate,ship_order_rate,ship_goods_rate
2017-10-08,9164,2014,95955,21694,8506,349920.690555556,1378,11702.2647222222,2892,87890.7138888889,2579,129937.008888889,1412,93538.2983333333,146,13305.6808333333,71,8472.66444444444,1,139.239444444444,27,4934.82,8495,81682,0.219773024879965,0.226085144077953,41.1381014055438,0.928197293758184,0.926996944565692,0.851253191600229
2017-10-09,9168,1973,93705,21967,8487,347827.866388889,1515,13042.4641666667,2256,68913.9838888889,3362,163205.848333333,1088,74063.3466666667,192,17207.7269444444,21,2439.74583333333,2,305.194722222222,51,8649.55583333333,8473,80343,0.215205061082024,0.234427191718692,40.9836062671013,0.925719895287958,0.924192844677138,0.857403553705779
2017-10-10,10676,2078,115495,27001,9904,418343.624722222,1106,8382.84027777778,3593,110940.843888889,3376,169307.573611111,1584,105484.969444444,188,16656.3608333333,21,2316.20694444444,34,4866.08444444444,2,388.745277777778,9892,97943,0.194642188085425,0.233785012338196,42.2398651779303,0.927688272761334,0.926564256275759,0.848028053162475
2017-10-11,10622,1855,120477,29424,9888,414917.874166667,1426,12649.3136111111,3018,100245.615277778,3955,195462.031111111,1255,82449.6461111111,165,15040.6936111111,71,8128.52916666667,2,268.939444444444,1,673.058888888889,9879,102873,0.174637544718509,0.244229188973829,41.9617591187972,0.930898135944267,0.930050837883638,0.85388082372569
2017-12-12,19323,357,209431,158845,17166,1023618.52083333,259,1424.40777777778,1543,57555.1561111111,7838,426744.5,6829,469070.209722222,574,53288.4933333333,88,10308.1947222222,32,4644.19305555556,3,583.366111111111,17120,189152,0.0184753920198727,0.758459826864218,59.6305791001593,0.888371370905139,0.885990788179889,0.903170972778624
2017-12-13,18182,208,197957,164354,16133,932986.419722222,137,554.339444444444,1732,65239.9275,9687,524622.841944444,3892,274533.123888889,521,48185.5791666667,131,15128.5936111111,29,4144.80361111111,4,577.210555555556,16095,178497,0.011439885601144,0.830251014109125,57.8309316136008,0.887306126938731,0.885216147838522,0.901695822830211
2017-12-14,15446,172,163152,139907,13682,771872.245555556,110,471.577777777778,2879,111341.5325,7096,388157.251388889,2829,195263.633055556,609,56346.5880555556,102,12213.2925,53,7449.27694444444,4,629.093333333333,13646,147412,0.0111355690793733,0.857525497695401,56.4151619321412,0.88579567525573,0.883464974750744,0.90352554672943
2017-12-15,14618,164,159609,135053,12975,723998.739166667,124,683.392777777778,2680,101523.545833333,5759,302494.361111111,3630,240689.3275,570,54198.4988888889,175,19206.4716666667,35,4914.59944444444,2,288.541944444444,12953,144675,0.0112190450129977,0.846149026683959,55.7995174694926,0.887604323436859,0.886099329593652,0.906433847715354
2017-12-16,15308,137,177031,152648,13544,807602.344166667,110,671.306944444444,2218,83799.8375,6070,322486.022222222,3438,247821.371111111,1540,131929.583333333,124,14680.2869444444,42,5925.47916666667,2,288.456944444444,13532,159815,0.00894956885288738,0.862267060571312,59.628052581709,0.884766135354063,0.883982231512934,0.902751495500788
2017-12-17,15737,119,176124,156781,13971,836818.4825,95,530.873611111111,2094,79127.2561111111,5088,292525.815555556,6026,397092.404722222,525,48962.6683333333,69,8237.27888888889,74,10342.1852777778,0,0,13957,159160,0.0075617970388257,0.890173968340487,59.8968207358099,0.887780390163309,0.886890766982271,0.903681497127024
